Waktu,MQ-3,MQ-3 (PPM),MQ-135,MQ-135 (PPM),MQ-136,MQ-136 (PPM),TGS 822,TGS 822 (PPM),TGS 2600,TGS 2600 (PPM),TGS 2602,TGS 2602 (PPM),TGS 2610,TGS 2610 (PPM),TGS 2620,TGS 2620 (PPM),Output1,Output2
2025-03-07 17:29:45,1.7548387096774192,1.0315139183711695,1.525806451612903,2.5953488372093028,0.2870967741935484,19.130278923535126,1.12258064516129,3.2743570028222555,2.1999999999999997,1.4640368911168933,1.732258064516129,2.0955307262569836,1.2806451612903225,2.3961207773817548,2.4774193548387093,1.3707739894072937,0,1
2025-03-07 17:29:47,1.7709677419354837,1.0174543320172056,1.529032258064516,2.589873417721519,0.2870967741935484,19.130278923535126,1.1387096774193548,3.2233763945276563,2.212903225806451,1.4537988836923432,1.7677419354838708,2.053467153284672,1.3387096774193548,2.261902278744784,2.5032258064516126,1.3552371674518524,0,1
2025-03-07 17:29:49,1.7741935483870968,1.0146807182557473,1.529032258064516,2.589873417721519,0.2870967741935484,19.130278923535126,1.1483870967741936,3.1935094035621656,2.2064516129032254,1.4589014227803025,1.7903225806451613,2.0275675675675675,1.3419354838709676,2.2548363842727506,2.52258064516129,1.3438035025427142,0,1
2025-03-07 17:29:51,1.7838709677419353,1.0064350311853762,1.532258064516129,2.5844210526315785,0.2903225806451613,18.854414415843987,1.1612903225806452,3.15449937895122,2.2290322580645157,1.4411846009627682,1.8225806451612903,1.9916814159292036,1.3548387096774193,2.226959332818133,2.5709677419354837,1.3160095581090563,0,1
2025-03-07 17:29:53,1.793548387096774,0.9983004215993185,1.532258064516129,2.5844210526315785,0.2903225806451613,18.854414415843987,1.1741935483870969,3.1163890884799255,2.2387096774193544,1.4337119508079514,1.8548387096774193,1.9570434782608694,1.396774193548387,2.140435269673645,2.590322580645161,1.3051970913236963,0,1
2025-03-07 17:29:55,1.793548387096774,0.9983004215993185,1.529032258064516,2.589873417721519,0.2903225806451613,18.854414415843987,1.1806451612903226,3.097661821604427,2.235483870967742,1.436194927008976,1.8709677419354838,1.9401724137931033,1.3935483870967742,2.1468786296225715,2.590322580645161,1.3051970913236963,0,1
2025-03-07 17:29:57,1.8032258064516127,0.9902748058758797,1.529032258064516,2.589873417721519,0.2903225806451613,18.854414415843987,1.1935483870967742,3.0608447389412508,2.2322580645161287,1.438685798204992,1.8903225806451613,1.920307167235495,1.403225806451613,2.1276506959867367,2.593548387096774,1.3034114850037333,0,1
2025-03-07 17:29:59,1.8064516129032258,0.9876234685886098,1.529032258064516,2.589873417721519,0.2903225806451613,18.854414415843987,1.2032258064516128,3.03377579572162,2.2290322580645157,1.4411846009627682,1.9,1.9105263157894736,1.3709677419354838,2.1929602253953315,2.5709677419354837,1.3160095581090563,0,1
2025-03-07 17:30:01,1.8129032258064515,0.9823561503777394,1.529032258064516,2.589873417721519,0.2935483870967742,18.58551076373858,1.2161290322580645,2.9983871767461876,2.24516129032258,1.4287695382268895,1.932258064516129,1.8786310517529214,1.3709677419354838,2.1929602253953315,2.590322580645161,1.3051970913236963,0,1
2025-03-07 17:30:03,1.8225806451612903,0.9745424699941792,1.525806451612903,2.5953488372093028,0.2935483870967742,18.58551076373858,1.232258064516129,2.9552450453242285,2.270967741935484,1.4093085247111632,1.9709677419354839,1.8417348608837971,0.45161290322580644,9.289020417252823,2.6129032258064515,1.2927950373756076,0,1
2025-03-07 17:30:05,1.8258064516129031,0.9719609013770332,1.525806451612903,2.5953488372093028,0.2935483870967742,18.58551076373858,1.2387096774193547,2.9383183699634867,2.2806451612903227,1.402135461889541,2.0,1.815,0.1064516129032258,60.7950530827869,2.62258064516129,1.2875484990923092,0,1
2025-03-07 17:30:07,1.8354838709677417,0.9642841811060727,1.525806451612903,2.5953488372093028,0.2935483870967742,18.58551076373858,1.2516129032258063,2.9050144630355,2.293548387096774,1.3926749018827136,2.0387096774193547,1.7805379746835444,0.05161290322580645,155.80463970739655,2.62258064516129,1.2875484990923092,0,1
2025-03-07 17:30:09,1.8354838709677417,0.9642841811060727,1.532258064516129,2.5844210526315785,0.2967741935483871,18.323318693998008,1.2548387096774192,2.8968008258696987,2.264516129032258,1.414128045164015,2.0258064516129033,1.79187898089172,0.19999999999999998,26.78102330950771,2.583870967741935,1.3087823495182076,0,1
2025-03-07 17:30:11,1.8419354838709676,0.9592223283621846,1.529032258064516,2.589873417721519,0.2935483870967742,18.58551076373858,1.2677419354838708,2.8643850058790092,2.2548387096774194,1.4214142302650936,2.032258064516129,1.7861904761904763,0.7903225806451613,4.487665251980454,2.5709677419354837,1.3160095581090563,0,1
2025-03-07 17:30:13,1.8483870967741933,0.9542046067754626,1.529032258064516,2.589873417721519,0.2967741935483871,18.323318693998008,1.2774193548387096,2.8405241930727616,2.2548387096774194,1.4214142302650936,2.0483870967741935,1.7721259842519685,1.2806451612903225,2.3961207773817548,2.5709677419354837,1.3160095581090563,0,1
2025-03-07 17:30:15,1.8580645161290321,0.9467595983986705,1.529032258064516,2.589873417721519,0.2967741935483871,18.323318693998008,1.2903225806451613,2.809294096924598,2.2677419354838713,1.4117145143316672,2.0709677419354837,1.7528037383177573,1.4838709677419355,1.9785689195312863,2.5741935483870964,1.3141956235509265,0,1
2025-03-07 17:30:17,1.8548387096774193,0.9492304795650268,1.5225806451612902,2.6008474576271183,0.2967741935483871,18.323318693998008,1.2903225806451613,2.809294096924598,2.2580645161290325,1.4189778683902075,2.0774193548387094,1.747360248447205,1.525806451612903,1.9081691969836867,2.554838709677419,1.3251513926976772,0,1
