Waktu,MQ-3,MQ-3 (PPM),MQ-135,MQ-135 (PPM),MQ-136,MQ-136 (PPM),TGS 822,TGS 822 (PPM),TGS 2600,TGS 2600 (PPM),TGS 2602,TGS 2602 (PPM),TGS 2610,TGS 2610 (PPM),TGS 2620,TGS 2620 (PPM),Output1,Output2
2025-03-07 17:06:08,1.3032258064516127,1.6117637884238372,1.5354838709677419,2.578991596638655,0.26774193548387093,20.947239137840718,0.9451612903225807,3.956478542221405,2.303225806451613,1.3856559653071858,1.8774193548387097,1.933505154639175,1.5193548387096774,1.9187093176042058,2.5419354838709673,1.3325525903425839,0,0
2025-03-07 17:06:10,1.3064516129032258,1.6057979793027437,1.5354838709677419,2.578991596638655,0.26774193548387093,20.947239137840718,0.9483870967741935,3.9416779113288616,2.3096774193548386,1.381012606798036,1.8774193548387097,1.933505154639175,1.5193548387096774,1.9187093176042058,2.532258064516129,1.3381554729649046,0,0
2025-03-07 17:06:12,1.3032258064516127,1.6117637884238372,1.5354838709677419,2.578991596638655,0.26774193548387093,20.947239137840718,0.9451612903225807,3.956478542221405,2.296774193548387,1.3903280267790559,1.861290322580645,1.9502599653379553,1.4806451612903224,1.9841745398732842,2.5096774193548383,1.3514053702237494,0,0
2025-03-07 17:06:14,1.3064516129032258,1.6057979793027437,1.5387096774193547,2.5735849056603777,0.264516129032258,21.27993527710467,0.9483870967741935,3.9416779113288616,2.270967741935484,1.4093085247111632,1.8419354838709676,1.9707530647985994,1.4903225806451612,1.9674413537967779,2.532258064516129,1.3381554729649046,0,0
2025-03-07 17:06:16,1.3032258064516127,1.6117637884238372,1.5387096774193547,2.5735849056603777,0.26774193548387093,20.947239137840718,0.9516129032258065,3.9269826229735765,2.2838709677419358,1.399759296897137,1.8580645161290321,1.9536458333333335,1.5032258064516129,1.945515396733472,2.5451612903225804,1.330694903493655,0,0
2025-03-07 17:06:18,1.3064516129032258,1.6057979793027437,1.5387096774193547,2.5735849056603777,0.26774193548387093,20.947239137840718,0.9516129032258065,3.9269826229735765,2.2870967741935484,1.3973905040136434,1.8645161290322578,1.9468858131487892,1.5129032258064514,1.9293528828212192,2.5387096774193547,1.33441523448514,0,0
2025-03-07 17:06:20,1.3096774193548386,1.599868882820625,1.5354838709677419,2.578991596638655,0.26774193548387093,20.947239137840718,0.9548387096774194,3.912391574092765,2.2870967741935484,1.3973905040136434,1.8709677419354838,1.9401724137931033,1.5096774193548386,1.934713913257677,2.532258064516129,1.3381554729649046,0,0
2025-03-07 17:06:22,1.3064516129032258,1.6057979793027437,1.5354838709677419,2.578991596638655,0.26774193548387093,20.947239137840718,0.9548387096774194,3.912391574092765,2.2806451612903227,1.402135461889541,1.8709677419354838,1.9401724137931033,1.5129032258064514,1.9293528828212192,2.52258064516129,1.3438035025427142,0,0
2025-03-07 17:06:24,1.3096774193548386,1.599868882820625,1.5354838709677419,2.578991596638655,0.26774193548387093,20.947239137840718,0.9580645161290322,3.8979036768485362,2.270967741935484,1.4093085247111632,1.8677419354838707,1.9435233160621765,1.5064516129032257,1.9401013555295166,2.5032258064516126,1.3552371674518524,0,0
2025-03-07 17:06:26,1.3096774193548386,1.599868882820625,1.532258064516129,2.5844210526315785,0.26774193548387093,20.947239137840718,0.9580645161290322,3.8979036768485362,2.2677419354838713,1.4117145143316672,1.8645161290322578,1.9468858131487892,1.5064516129032257,1.9401013555295166,2.4838709677419355,1.3668580013275193,0,0
2025-03-07 17:06:28,1.3096774193548386,1.599868882820625,1.532258064516129,2.5844210526315785,0.26774193548387093,20.947239137840718,0.9580645161290322,3.8979036768485362,2.261290322580645,1.4165491516380457,1.8580645161290321,1.9536458333333335,1.5096774193548386,1.934713913257677,2.464516129032258,1.3786705626815965,0,0
2025-03-07 17:06:30,1.3129032258064515,1.5939761834609898,1.5387096774193547,2.5735849056603777,0.26774193548387093,20.947239137840718,0.9612903225806452,3.883517858367381,2.2677419354838713,1.4117145143316672,1.8741935483870966,1.936833046471601,1.5161290322580645,1.9240180788345969,2.4612903225806453,1.3806582913314285,0,0
2025-03-07 17:06:32,1.3129032258064515,1.5939761834609898,1.5354838709677419,2.578991596638655,0.26774193548387093,20.947239137840718,0.9612903225806452,3.883517858367381,2.261290322580645,1.4165491516380457,1.8741935483870966,1.936833046471601,1.5129032258064514,1.9293528828212192,2.4483870967741934,1.3886642132293994,0,0
2025-03-07 17:06:34,1.3096774193548386,1.599868882820625,1.5387096774193547,2.5735849056603777,0.26774193548387093,20.947239137840718,0.964516129032258,3.8692330604849654,2.264516129032258,1.414128045164015,1.8838709677419354,1.9268835616438358,1.5161290322580645,1.9240180788345969,2.4387096774193546,1.3947270440067594,0,0
2025-03-07 17:06:36,1.3064516129032258,1.6057979793027437,1.532258064516129,2.5844210526315785,0.264516129032258,21.27993527710467,0.9612903225806452,3.883517858367381,2.24516129032258,1.4287695382268895,1.8677419354838707,1.9435233160621765,1.5032258064516129,1.945515396733472,2.412903225806452,1.411144344081442,0,0
2025-03-07 17:06:38,1.3161290322580643,1.5881195691851744,1.5354838709677419,2.578991596638655,0.26774193548387093,20.947239137840718,0.964516129032258,3.8692330604849654,2.2516129032258068,1.4238582723169948,1.8774193548387097,1.933505154639175,1.5096774193548386,1.934713913257677,2.412903225806452,1.411144344081442,0,0
