Waktu,MQ-3,MQ-3 (PPM),MQ-135,MQ-135 (PPM),MQ-136,MQ-136 (PPM),TGS 822,TGS 822 (PPM),TGS 2600,TGS 2600 (PPM),TGS 2602,TGS 2602 (PPM),TGS 2610,TGS 2610 (PPM),TGS 2620,TGS 2620 (PPM),Output1,Output2
2025-03-07 18:28:00,3.3,0.4,1.6451612903225807,2.4070588235294115,0.632258064516129,6.8548099437081085,3.270967741935484,1.0097676349522169,3.2387096774193544,0.9204767314266753,3.3,1.1,2.293548387096774,1.1233261859882337,3.3,1.0,1,0
2025-03-07 18:28:02,3.3,0.4,1.6516129032258065,2.39765625,0.6387096774193548,6.764933993521964,3.2838709677419353,1.0054040753458202,3.2483870967741932,0.9171870310856918,3.3,1.1,2.296774193548387,1.1212756013135636,3.3,1.0,1,0
2025-03-07 18:28:04,3.3,0.4,1.6516129032258065,2.39765625,0.6387096774193548,6.764933993521964,3.2806451612903227,1.006491586496001,3.2419354838709675,0.9193777641223303,3.3,1.1,2.2870967741935484,1.1274473186939684,3.3,1.0,1,0
2025-03-07 18:28:06,3.3,0.4,1.6548387096774193,2.3929824561403508,0.6387096774193548,6.764933993521964,3.2870967741935484,1.0043188052764094,3.2483870967741932,0.9171870310856918,3.3,1.1,2.296774193548387,1.1212756013135636,3.3,1.0,1,0
2025-03-07 18:28:08,3.3,0.4,1.632258064516129,2.4260869565217384,0.6290322580645161,6.900543787565827,3.2419354838709675,1.0197190416642803,3.180645161290322,0.9406779671498865,3.3,1.1,2.2516129032258068,1.1505998535979431,3.3,1.0,1,0
2025-03-07 18:28:10,3.3,0.4,1.6451612903225807,2.4070588235294115,0.6419354838709677,6.72077430785931,3.270967741935484,1.0097676349522169,3.2322580645161287,0.9226819059455069,3.3,1.1,2.2903225806451615,1.125383414804597,3.3,1.0,1,0
2025-03-07 18:28:12,3.3,0.4,1.6451612903225807,2.4070588235294115,0.6483870967741935,6.633968975649087,3.2838709677419353,1.0054040753458202,3.2483870967741932,0.9171870310856918,3.3,1.1,2.3000000000000003,1.1192316300357739,3.3,1.0,1,0
2025-03-07 18:28:14,3.3,0.4,1.6483870967741936,2.402348336594912,0.6451612903225806,6.677122076938827,3.2774193548387096,1.0075813455652312,3.2290322580645157,0.9237881285917594,3.3,1.1,2.296774193548387,1.1212756013135636,3.3,1.0,1,0
2025-03-07 18:28:16,3.3,0.4,1.6419354838709677,2.4117878192534383,0.6354838709677418,6.809609640891698,3.264516129032258,1.0119629987680006,3.2096774193548385,0.93047685111694,3.3,1.1,2.2838709677419358,1.129517928775563,3.3,1.0,1,0
2025-03-07 18:28:18,3.3,0.4,1.6483870967741936,2.402348336594912,0.6451612903225806,6.677122076938827,3.293548387096774,1.0021549611640708,3.2548387096774194,0.9150058493999625,3.3,1.1,2.3161290322580648,1.1091099114134355,3.3,1.0,1,0
2025-03-07 18:28:20,3.3,0.4,1.6516129032258065,2.39765625,0.6451612903225806,6.677122076938827,3.293548387096774,1.0021549611640708,3.24516129032258,0.9182811998872052,3.3,1.1,2.3000000000000003,1.1192316300357739,3.3,1.0,1,0
2025-03-07 18:28:22,3.3,0.4,1.6483870967741936,2.402348336594912,0.6483870967741935,6.633968975649087,3.2806451612903227,1.006491586496001,3.2354838709677414,0.9215781094678249,3.3,1.1,2.3129032258064517,1.111121270447611,3.3,1.0,1,0
2025-03-07 18:28:24,3.3,0.4,1.6516129032258065,2.39765625,0.6451612903225806,6.677122076938827,3.293548387096774,1.0021549611640708,3.261290322580645,0.9128341586135712,3.3,1.1,2.3225806451612905,1.1051064621714308,3.3,1.0,1,0
2025-03-07 18:28:26,3.3,0.4,1.6451612903225807,2.4070588235294115,0.6419354838709677,6.72077430785931,3.2806451612903227,1.006491586496001,3.2483870967741932,0.9171870310856918,3.3,1.1,2.306451612903226,1.1151634056158104,3.3,1.0,1,0
2025-03-07 18:28:28,3.3,0.4,1.6548387096774193,2.3929824561403508,0.6419354838709677,6.72077430785931,3.2870967741935484,1.0043188052764094,3.2387096774193544,0.9204767314266753,3.3,1.1,2.3096774193548386,1.11313909190413,3.3,1.0,1,0
2025-03-07 18:28:30,3.3,0.4,1.6483870967741936,2.402348336594912,0.6419354838709677,6.72077430785931,3.2870967741935484,1.0043188052764094,3.267741935483871,0.9106718987761241,3.3,1.1,2.3225806451612905,1.1051064621714308,3.3,1.0,1,0
2025-03-07 18:28:32,3.3,0.4,1.6548387096774193,2.3929824561403508,0.6451612903225806,6.677122076938827,3.296774193548387,1.0010763735814647,3.2806451612903227,0.9063754346216305,3.3,1.1,2.3483870967741938,1.0893453169515896,3.3,1.0,1,0
2025-03-07 18:28:34,3.3,0.4,1.6516129032258065,2.39765625,0.6419354838709677,6.72077430785931,3.293548387096774,1.0021549611640708,3.2774193548387096,0.9074460621272186,3.3,1.1,2.3645161290322583,1.0796952650667693,3.3,1.0,1,0
2025-03-07 18:28:36,3.3,0.4,1.6483870967741936,2.402348336594912,0.6387096774193548,6.764933993521964,3.2903225806451615,1.0032357694769745,3.2806451612903227,0.9063754346216305,3.3,1.1,2.361290322580645,1.081613149461162,3.3,1.0,1,0
2025-03-07 18:28:38,3.3,0.4,1.6451612903225807,2.4070588235294115,0.6354838709677418,6.809609640891698,3.274193548387097,1.0086733594194142,3.264516129032258,0.9117518535536928,3.3,1.1,2.335483870967742,1.0971758197511274,3.3,1.0,1,0
